id,name,category,flavor_profiles,flavors,molecules_count,sample_molecules
11,Brandy,Beverage Alcoholic,"must, butterscotch, oil, peach, natural, melon, cabbage, putrid, apple, meaty, sickening, grassy, onion, leafy, dry, rancid, fruit, lilac, fresh, coconut, sour, rose flower, vegetable, fungal, brandy, almond, rose water, fish, rum, beer, banana, heavy, tobacco, oily, medicine, pyridine, unripe banana, neroli, smoky, wine, creamy, sweat, musty, woody, juicy, pineapple, tart, herbal, cocoa, ether, clove, malt, medicinal, orange, magnolia, green, solvent, savory, tropical, rose, powdery, fishy, alcohol, cumin, smoke, honey, sulfur, alcoholic, bean, bread, milky, cooked beef juice, grape, naphthyl, nutty, cheese, bitter, hyacinth, acid, grass, soapy, soap, coffee, leaf, ethereal, citrus, watercress, rose dried, chip, burnt, vanilla, butter, berry, flower, lemon, dairy, pungent, fragrant, fruity, baked, popcorn, cinnamon, spicy, resin, walnut, chemical, spice, buttery, aldehydic, fusel, plum, bacon, feet, cognac, hawthorn, corn, animal, phenolic, cheesy, apple peel, cooked, caramel, cherry, waxy, mushroom, clean, sharp, sweaty, violet, fatty, amine, sulfurous, stinky, pepper, balsam, sweet, floral, lard, metal",,,
12,Anise Brandy,Beverage Alcoholic,"must, butterscotch, oil, peach, natural, melon, cabbage, putrid, apple, meaty, sickening, grassy, onion, leafy, dry, rancid, fruit, lilac, fresh, coconut, sour, rose flower, vegetable, fungal, brandy, almond, rose water, fish, peanut, rum, beer, banana, heavy, tobacco, oily, medicine, pyridine, unripe banana, neroli, musty, wine, creamy, sweat, smoky, woody, fermented, juicy, pineapple, tart, herbal, cocoa, ether, clove, malt, medicinal, orange, magnolia, green, solvent, savory, tropical, rose, powdery, fishy, alcohol, cumin, smoke, honey, sulfur, alcoholic, bean, bread, milky, cooked beef juice, grape, naphthyl, nutty, cheese, bitter, hyacinth, acid, grass, soapy, soap, coffee, leaf, ethereal, citrus, watercress, rose dried, chip, burnt, vanilla, butter, berry, flower, lemon, dairy, pungent, fragrant, fruity, baked, popcorn, cinnamon, spicy, resin, walnut, chemical, spice, buttery, aldehydic, fusel, plum, bacon, feet, cognac, hawthorn, corn, animal, phenolic, cheesy, apple peel, cooked, caramel, cherry, waxy, mushroom, clean, sharp, sweaty, violet, fatty, amine, sulfurous, stinky, pepper, balsam, sweet, floral, lard, metal",,,
13,Apple Brandy,Beverage Alcoholic,"styrax, must, foliage, jam, camomile, damascone, butterscotch, oil, peach, natural, melon, cabbage, lemongrass, putrid, apple, cranberry, meaty, raspberry, sickening, wintergreen, rose oxide, grassy, onion, leafy, dry, rancid, orris, fruit, saffron, lilac, fresh, coconut, sour, yeast, mint, balsamic, rose flower, vegetable, fungal, strawberry, seaweed, brandy, almond, minty, rose water, fish, peanut, rum, beer, banana, heavy, tobacco, potato, oily, medicine, pyridine, unripe banana, neroli, musty, wine, creamy, sweat, smoky, gasoline, ester, cut grass, woody, fermented, soup, juicy, pineapple, tart, herbal, cocoa, ether, clove, malt, medicinal, hazelnut, orange, magnolia, green, solvent, savory, tropical, rose, powdery, mild, fishy, alcohol, cumin, smoke, honey, sulfur, herb, alcoholic, bean, bread, milky, cooked beef juice, grape, naphthyl, nutty, cheese, bitter, hyacinth, acid, grass, soapy, soap, coffee, leaf, ethereal, red rose, citrus, watercress, rose dried, chip, burnt, vanilla, butter, berry, flower, lemon, dairy, pungent, celery, fragrant, fruity, baked, popcorn, cinnamon, spicy, resin, walnut, plastic, chemical, spice, buttery, earthy, aldehydic, chocolate, fusel, plum, petal, bacon, feet, anise, cognac, hawthorn, corn, animal, phenolic, cheesy, apple peel, cooked, rubber, caramel, ylang, cherry, waxy, mushroom, clean, sharp, violet, sweaty, fatty, amine, sulfurous, stinky, ripe, pepper, balsam, sweet, floral, apricot, tomato, pear, lard, metal",,,
14,Armagnac Brandy,Beverage Alcoholic,"must, butterscotch, oil, peach, natural, melon, cabbage, putrid, apple, meaty, sickening, grassy, onion, leafy, dry, rancid, fruit, lilac, fresh, coconut, sour, rose flower, vegetable, fungal, brandy, almond, rose water, fish, peanut, rum, beer, banana, heavy, tobacco, oily, medicine, pyridine, unripe banana, neroli, musty, wine, creamy, sweat, smoky, woody, fermented, juicy, pineapple, tart, herbal, cocoa, ether, clove, malt, medicinal, orange, magnolia, green, solvent, savory, tropical, rose, powdery, fishy, alcohol, cumin, smoke, honey, sulfur, alcoholic, bean, bread, milky, cooked beef juice, grape, naphthyl, nutty, cheese, bitter, hyacinth, acid, grass, soapy, soap, coffee, leaf, ethereal, citrus, watercress, rose dried, chip, burnt, vanilla, butter, berry, flower, lemon, dairy, pungent, fragrant, fruity, baked, popcorn, cinnamon, spicy, resin, walnut, chemical, spice, buttery, aldehydic, fusel, plum, bacon, feet, cognac, hawthorn, corn, animal, phenolic, cheesy, apple peel, cooked, caramel, cherry, waxy, mushroom, clean, sharp, sweaty, violet, fatty, amine, sulfurous, stinky, pepper, balsam, sweet, floral, lard, metal",,,
15,Blackberry Brandy,Beverage Alcoholic,"must, butterscotch, oil, peach, natural, melon, cabbage, putrid, apple, meaty, sickening, grassy, onion, leafy, dry, rancid, fruit, lilac, fresh, coconut, sour, rose flower, vegetable, fungal, brandy, almond, rose water, fish, rum, beer, banana, heavy, tobacco, oily, medicine, pyridine, unripe banana, neroli, smoky, wine, creamy, sweat, musty, woody, whiskey, juicy, pineapple, tart, herbal, cocoa, ether, clove, malt, medicinal, orange, magnolia, green, solvent, savory, tropical, rose, powdery, fishy, alcohol, cumin, smoke, honey, sulfur, alcoholic, bean, bread, milky, cooked beef juice, grape, naphthyl, nutty, cheese, bitter, hyacinth, acid, grass, soapy, soap, coffee, leaf, ethereal, citrus, watercress, rose dried, chip, burnt, vanilla, butter, berry, flower, lemon, dairy, pungent, fragrant, fruity, baked, popcorn, cinnamon, spicy, resin, walnut, chemical, spice, buttery, aldehydic, fusel, plum, bacon, feet, cognac, hawthorn, corn, animal, phenolic, cheesy, apple peel, cooked, caramel, cherry, waxy, mushroom, clean, sharp, sweaty, violet, fatty, amine, sulfurous, stinky, pepper, balsam, sweet, floral, lard, metal",,,
16,Cherry Brandy,Beverage Alcoholic,"must, camomile, butterscotch, oil, peach, natural, melon, cabbage, putrid, apple, cranberry, meaty, raspberry, sickening, wintergreen, grassy, onion, leafy, dry, rancid, fruit, lilac, fresh, coconut, sour, rose flower, vegetable, fungal, strawberry, brandy, almond, minty, rose water, fish, rum, beer, banana, heavy, tobacco, oily, medicine, pyridine, unripe banana, neroli, musty, wine, creamy, sweat, smoky, woody, juicy, pineapple, tart, herbal, cocoa, ether, clove, malt, medicinal, orange, magnolia, green, solvent, savory, tropical, rose, powdery, mild, fishy, alcohol, cumin, smoke, honey, sulfur, alcoholic, bean, bread, milky, cooked beef juice, grape, naphthyl, nutty, cheese, bitter, hyacinth, acid, grass, soapy, soap, coffee, leaf, ethereal, citrus, watercress, rose dried, chip, burnt, vanilla, butter, berry, flower, lemon, dairy, pungent, celery, fragrant, fruity, baked, popcorn, cinnamon, spicy, resin, walnut, chemical, spice, buttery, aldehydic, chocolate, fusel, plum, bacon, feet, anise, cognac, hawthorn, corn, animal, phenolic, cheesy, apple peel, cooked, caramel, ylang, cherry, waxy, mushroom, clean, sharp, sweaty, violet, fatty, amine, sulfurous, stinky, pepper, balsam, sweet, floral, apricot, pear, lard, metal",,,
17,Cognac Brandy,Beverage Alcoholic,"furfural, wood, medical, must, jam, hot milk, castoreum, butterscotch, hop_oil, oil, peach, natural, melon, cabbage, lemongrass, putrid, tea, apple, meaty, raspberry, sickening, musk, cranberry, wintergreen, yeasty, roquefort cheese, hawthorne, grassy, onion, leafy, dry, rancid, orris, fruit, blackcurrant, rummy, fresh, lilac, coconut, sour, yeast, bready, burnt sugar, strong, mint, balsamic, rose flower, paper, vegetable, diphenyl oxide, strawberry, acetophenone, fungal, papaya, pine, dirty, laundered cloths, seaweed, odorless, nutmeg, brandy, grapefruit, almond, minty, peppermint, mimosa, almond shell, clean cloth, rose water, iris, fish, peanut, rum, lime, beer, clover, banana, warm, heavy, tobacco, potato, tutti frutti, watery, oily, medicine, pyridine, orange peel, unripe banana, neroli, musty, wine, creamy, sweat, smoky, allspice, gasoline, curry, cultured dairy, woody, brown, fermented, chicken, whiskey, jasmin, soup, juicy, rosemary, pineapple, tart, cananga, vinous, herbal, cocoa, bitter almond, ether, clove, malt, medicinal, fried, orange, hazelnut, magnolia, green, solvent, wax, tropical, honeysuckle, savory, tonka, rose, powdery, mild, fishy, alcohol, prune, cumin, smoke, amber, pulpy, honey, lettuce, sulfur, herb, blueberry, alcoholic, borneol, nut, bean, bread, cotton, tropica, milky, cooked beef juice, powerful, gardenia, grape, naphthyl, caraway, sarsaparilla, coumarin, weedy, guaiacol, nutty, bitter, cheese, hyacinth, acid, maple, grass, toasted, soapy, coffee, soap, leaf, ethereal, citrus, watercress, chip, rose dried, hay, burnt, bay oil, vanilla, berry, butter, flower, lemon, camphor, dairy, raw, pungent, celery, fat, fragrant, fruity, new mown hay, baked, popcorn, lavender, cinnamon, spicy, overripe fruit, resin, walnut, plastic, spearmint, unpleasant, chemical, spice, wine_like, root, mango, buttery, earthy, aldehydic, vinegar, chocolate, pastry, narcissus, plum, fusel, civet, bacon, cooling, soy, feet, anise, cognac, cream, hawthorn, cucumber, corn, animal, phenolic, storax, cheesy, faint, apple peel, cooked, rubber, metallic, caramel, ylang, cherry, waxy, mushroom, clean, cortex, leather, sharp, peony, sulfury, acidic, violet, sweaty, fatty, amine, sulfurous, stinky, herbaceous, phenol, moss, laundry, ripe, pepper, formyl, balsam, sweet, floral, peely, apricot, tomato, pear, rhubarb, lard, slightly waxy, anisic, metal",,,
18,Papaya Brandy,Beverage Alcoholic,"must, butterscotch, oil, peach, natural, melon, cabbage, putrid, apple, meaty, sickening, grassy, onion, leafy, dry, rancid, fruit, lilac, fresh, coconut, sour, rose flower, vegetable, fungal, brandy, almond, rose water, fish, rum, beer, banana, heavy, tobacco, oily, medicine, pyridine, unripe banana, neroli, smoky, wine, creamy, sweat, musty, woody, juicy, pineapple, tart, herbal, cocoa, ether, clove, malt, medicinal, orange, magnolia, green, solvent, savory, tropical, rose, powdery, fishy, alcohol, cumin, smoke, honey, sulfur, alcoholic, bean, bread, milky, cooked beef juice, grape, naphthyl, nutty, cheese, bitter, hyacinth, acid, grass, soapy, soap, coffee, leaf, ethereal, citrus, watercress, rose dried, chip, burnt, vanilla, butter, berry, flower, lemon, dairy, pungent, fragrant, fruity, baked, popcorn, cinnamon, spicy, resin, walnut, chemical, spice, buttery, aldehydic, fusel, plum, bacon, feet, cognac, hawthorn, corn, animal, phenolic, cheesy, apple peel, cooked, caramel, cherry, waxy, mushroom, clean, sharp, sweaty, violet, fatty, amine, sulfurous, stinky, pepper, balsam, sweet, floral, lard, metal",,,
19,Pear Brandy,Beverage Alcoholic,"medical, must, foliage, jam, butterscotch, oil, peach, natural, melon, cabbage, putrid, apple, meaty, sickening, raspberry, grassy, onion, leafy, dry, rancid, orris, fruit, lilac, fresh, coconut, sour, rose flower, vegetable, fungal, seaweed, brandy, almond, mesquite, rose water, fish, peanut, rum, beer, banana, heavy, tobacco, oily, medicine, pyridine, unripe banana, neroli, musty, wine, creamy, sweat, smoky, cut grass, woody, fermented, whiskey, juicy, pineapple, tart, herbal, cocoa, ether, clove, malt, medicinal, orange, magnolia, green, solvent, savory, tropical, rose, powdery, fishy, alcohol, cumin, smoke, honey, sulfur, herb, alcoholic, bean, bread, carnation, milky, cooked beef juice, grape, naphthyl, nutty, cheese, bitter, hyacinth, acid, grass, soapy, soap, coffee, leaf, ethereal, citrus, watercress, rose dried, chip, burnt, vanilla, butter, berry, flower, lemon, dairy, pungent, fragrant, fruity, baked, popcorn, cinnamon, spicy, resin, walnut, chemical, spice, buttery, aldehydic, fusel, plum, bacon, feet, cognac, hawthorn, corn, animal, phenolic, cheesy, apple peel, cooked, caramel, cherry, waxy, mushroom, clean, leather, sharp, violet, sweaty, fatty, amine, sulfurous, stinky, pepper, balsam, sweet, floral, pear, lard, metal",,,
20,Plum Brandy,Beverage Alcoholic,"must, butterscotch, oil, peach, natural, melon, cabbage, putrid, apple, cranberry, meaty, sickening, wintergreen, grassy, onion, leafy, dry, rancid, orris, fruit, fresh, lilac, bready, coconut, sour, mint, balsamic, rose flower, vegetable, fungal, strawberry, brandy, almond, peppermint, minty, rose water, fish, peanut, rum, beer, banana, heavy, tobacco, oily, medicine, pyridine, unripe banana, neroli, musty, wine, creamy, sweat, smoky, gasoline, woody, fermented, whiskey, juicy, pineapple, tart, herbal, cocoa, ether, clove, malt, medicinal, orange, magnolia, green, solvent, savory, tropical, rose, powdery, mild, fishy, alcohol, cumin, smoke, honey, sulfur, alcoholic, bean, bread, milky, cooked beef juice, powerful, grape, naphthyl, nutty, cheese, bitter, hyacinth, acid, grass, soapy, soap, coffee, leaf, mandarin, ethereal, citrus, watercress, rose dried, chip, burnt, berry, vanilla, butter, flower, lemon, dairy, pungent, fragrant, fruity, baked, popcorn, cinnamon, spicy, resin, walnut, plastic, chemical, spice, buttery, earthy, aldehydic, chocolate, fusel, plum, petal, bacon, feet, cognac, hawthorn, corn, animal, phenolic, cheesy, faint, apple peel, cooked, caramel, ylang, metallic, cherry, waxy, mushroom, clean, sharp, sweaty, violet, fatty, amine, sulfurous, stinky, pepper, clean clothes, balsam, sweet, floral, apricot, pear, lard, metal, harsh",,,
21,Raspberry Brandy,Beverage Alcoholic,"wood, must, butterscotch, oil, peach, natural, melon, cabbage, putrid, apple, meaty, raspberry, sickening, grassy, onion, leafy, dry, rancid, orris, fruit, lilac, fresh, coconut, sour, rose flower, vegetable, fungal, brandy, almond, rose water, fish, rum, beer, banana, heavy, tobacco, oily, medicine, pyridine, unripe banana, neroli, smoky, wine, creamy, sweat, musty, woody, juicy, pineapple, tart, herbal, cocoa, ether, clove, malt, medicinal, orange, magnolia, green, solvent, savory, tropical, rose, powdery, fishy, alcohol, cumin, smoke, honey, sulfur, alcoholic, bean, bread, milky, cooked beef juice, grape, naphthyl, nutty, cheese, bitter, hyacinth, acid, grass, soapy, soap, coffee, leaf, ethereal, citrus, watercress, rose dried, chip, burnt, vanilla, butter, berry, flower, lemon, dairy, pungent, fragrant, fruity, baked, popcorn, cinnamon, spicy, resin, walnut, chemical, spice, buttery, aldehydic, fusel, plum, ionone, bacon, feet, cognac, hawthorn, corn, animal, phenolic, cheesy, apple peel, cooked, caramel, cherry, waxy, mushroom, clean, sharp, violet, sweaty, fatty, amine, sulfurous, stinky, pepper, balsam, sweet, floral, lard, metal",,,
22,Weinbrand Brandy,Beverage Alcoholic,"must, butterscotch, oil, peach, natural, melon, cabbage, putrid, apple, meaty, sickening, grassy, onion, leafy, dry, rancid, fruit, lilac, fresh, coconut, sour, rose flower, vegetable, fungal, brandy, almond, rose water, fish, rum, beer, banana, heavy, tobacco, oily, medicine, pyridine, unripe banana, neroli, smoky, wine, creamy, sweat, musty, woody, juicy, pineapple, tart, alliaceous, herbal, cocoa, ether, clove, malt, medicinal, orange, magnolia, green, solvent, savory, tropical, rose, powdery, fishy, alcohol, cumin, smoke, honey, sulfur, alcoholic, bean, bread, milky, cooked beef juice, grape, naphthyl, nutty, cheese, bitter, hyacinth, acid, grass, soapy, soap, coffee, leaf, ethereal, citrus, watercress, rose dried, chip, burnt, vanilla, butter, berry, flower, lemon, dairy, pungent, fragrant, fruity, baked, popcorn, cinnamon, spicy, resin, walnut, chemical, spice, buttery, aldehydic, fusel, plum, bacon, feet, cognac, hawthorn, corn, animal, phenolic, cheesy, apple peel, cooked, caramel, cherry, waxy, mushroom, clean, sharp, sweaty, violet, fatty, amine, sulfurous, stinky, pepper, balsam, sweet, floral, lard, metal",,,
23,Gin,Beverage Alcoholic,"earthy, rose water, aldehydic, must, peanut, resinous, lime, terpene, fusel, banana, oil, peppery, natural, bitter, cheese, orange peel, cheesy, neroli, musty, wine, sweat, woody, fermented, whiskey, waxy, grassy, ethereal, rancid, orris, dry, citrus, fruit, rose dried, hay, burnt, herbal, fresh, ether, sour, flower, camphor, fatty, lilac, harsh, mint, malt, balsamic, magnolia, pungent, rose flower, fat, green, solvent, bergamot, fruity, balsam, rose, very mild, sweet, mild, fishy, peely, pine, spicy, lavender, resin, alcohol, turpentine, honey, floral, grapefruit, plastic, minty, alcoholic, spice",,,
